name,latitude,longitude,state
Berlin,52.52437,13.41053,Berlin
Hamburg,53.55073,9.99302,Hamburg
Munich,48.13743,11.57549,Bavaria
Köln,50.93333,6.95,North Rhine-Westphalia
Frankfurt am Main,50.11552,8.68417,Hesse
Stuttgart,48.78232,9.17702,Baden-Wuerttemberg
Düsseldorf,51.22172,6.77616,North Rhine-Westphalia
Großzschocher,51.30147,12.32322,Saxony
Kleinzschocher,51.31568,12.31979,Saxony
Essen,51.45657,7.01228,North Rhine-Westphalia
Dortmund,51.51494,7.466,North Rhine-Westphalia
Dresden,51.05089,13.73832,Saxony
Bremen,53.07582,8.80717,Bremen
Nürnberg,49.45421,11.07752,Bavaria
Hannover,52.37052,9.73322,Lower Saxony
Leipzig,51.33962,12.37129,Saxony
Duisburg,51.43247,6.76516,North Rhine-Westphalia
Wandsbek,53.58334,10.08305,Hamburg
Bochum,51.48165,7.21648,North Rhine-Westphalia
Bochum-Hordel,51.50168,7.1756,North Rhine-Westphalia
Wuppertal,51.25627,7.14816,North Rhine-Westphalia
Bielefeld,52.03333,8.53333,North Rhine-Westphalia
Bonn,50.73438,7.09549,North Rhine-Westphalia
Hamburg-Nord,53.58935,9.984,Hamburg
Mannheim,49.4891,8.46694,Baden-Wuerttemberg
Hamburg-Mitte,53.55,10.01667,Hamburg
Marienthal,53.56667,10.08333,Hamburg
Karlsruhe,49.00937,8.40444,Baden-Wuerttemberg
Wiesbaden,50.08258,8.24932,Hesse
Münster,51.96236,7.62571,North Rhine-Westphalia
Gelsenkirchen,51.50508,7.09654,North Rhine-Westphalia
Eimsbüttel,53.57416,9.95679,Hamburg
Aachen,50.77664,6.08342,North Rhine-Westphalia
Mönchengladbach,51.18539,6.44172,North Rhine-Westphalia
Augsburg,48.37154,10.89851,Bavaria
Altona,53.55,9.93333,Hamburg
Chemnitz,50.8357,12.92922,Saxony
Kiel,54.32133,10.13489,Schleswig-Holstein
Braunschweig,52.26594,10.52673,Lower Saxony
Krefeld,51.33645,6.55381,North Rhine-Westphalia
Halle (Saale),51.48158,11.97947,Saxony-Anhalt
Magdeburg,52.12773,11.62916,Saxony-Anhalt
Neue Neustadt,52.15,11.63333,Saxony-Anhalt
Oberhausen,51.47805,6.8625,North Rhine-Westphalia
Mainz,49.98419,8.2791,Rheinland-Pfalz
Freiburg,47.9959,7.85222,Baden-Wuerttemberg
Erfurt,50.9787,11.03283,Thuringia
Lübeck,53.86893,10.68729,Schleswig-Holstein
Hagen,51.36081,7.47168,North Rhine-Westphalia
Rostock,54.0887,12.14049,Mecklenburg-Vorpommern
Kassel,51.31667,9.5,Hesse
Potsdam,52.39886,13.06566,Brandenburg
Saarbrücken,49.23262,7.00982,Saarland
Hamm,51.68033,7.82089,North Rhine-Westphalia
Herne,51.5388,7.22572,North Rhine-Westphalia
Mülheim,51.43218,6.87967,North Rhine-Westphalia
Harburg,53.46057,9.98388,Hamburg
Osnabrück,52.27264,8.0498,Lower Saxony
Neukölln,52.47719,13.43126,Berlin
Solingen,51.17343,7.0845,North Rhine-Westphalia
Ludwigshafen am Rhein,49.48121,8.44641,Rheinland-Pfalz
Leverkusen,51.0303,6.98432,North Rhine-Westphalia
Oldenburg,53.14118,8.21467,Lower Saxony
Kreuzberg,52.49973,13.40338,Berlin
Neuss,51.19807,6.68504,North Rhine-Westphalia
Prenzlauer Berg,52.53878,13.42443,Berlin
Heidelberg,49.40768,8.69079,Baden-Wuerttemberg
Paderborn,51.71905,8.75439,North Rhine-Westphalia
Darmstadt,49.87167,8.65027,Hesse
Würzburg,49.79391,9.95121,Bavaria
Charlottenburg,52.51667,13.28333,Berlin
Regensburg,49.01513,12.10161,Bavaria
Wolfsburg,52.42452,10.7815,Lower Saxony
Schöneberg,52.46667,13.35,Berlin
Recklinghausen,51.61379,7.19738,North Rhine-Westphalia
Göttingen,51.53443,9.93228,Lower Saxony
Heilbronn,49.13995,9.22054,Baden-Wuerttemberg
Ingolstadt,48.76508,11.42372,Bavaria
Ulm,48.39841,9.99155,Baden-Wuerttemberg
Bottrop,51.52392,6.9285,North Rhine-Westphalia
Bergedorf,53.48462,10.22904,Hamburg
Pforzheim,48.88436,8.69892,Baden-Wuerttemberg
Offenbach,50.10061,8.76647,Hesse
Friedrichshain,52.51559,13.45482,Berlin
Remscheid,51.17983,7.1925,North Rhine-Westphalia
Bremerhaven,53.53615,8.59298,Bremen
Nippes,50.96545,6.95314,North Rhine-Westphalia
Porz am Rhein,50.88637,7.0583,North Rhine-Westphalia
Reutlingen,48.49144,9.20427,Baden-Wuerttemberg
Fürth,49.47593,10.98856,Bavaria
Marzahn,52.54525,13.56983,Berlin
Rodenkirchen,50.89328,6.99481,North Rhine-Westphalia
Koblenz,50.35357,7.57883,Rheinland-Pfalz
Siegen,50.87481,8.02431,North Rhine-Westphalia
Bergisch Gladbach,50.9856,7.13298,North Rhine-Westphalia
Jena,50.92878,11.5899,Thuringia
Gera,50.88029,12.08187,Thuringia
Salzgitter,52.15705,10.4154,Lower Saxony
Moers,51.45342,6.6326,North Rhine-Westphalia
Hildesheim,52.15077,9.95112,Lower Saxony
Erlangen,49.59099,11.00783,Bavaria
Mitte,52.52003,13.40489,Berlin
Wilmersdorf,52.48333,13.31667,Berlin
Witten,51.44362,7.35258,North Rhine-Westphalia
Trier,49.75565,6.63935,Rheinland-Pfalz
Zwickau,50.72724,12.48839,Saxony
Kaiserslautern,49.443,7.77161,Rheinland-Pfalz
Iserlohn,51.37547,7.70281,North Rhine-Westphalia
Schwerin,53.62937,11.41316,Mecklenburg-Vorpommern
Gütersloh,51.90693,8.37853,North Rhine-Westphalia
Gesundbrunnen,52.55035,13.39139,Berlin
Düren,50.80434,6.49299,North Rhine-Westphalia
Rahlstedt,53.60194,10.15667,Schleswig-Holstein
Esslingen,48.73961,9.30473,Baden-Wuerttemberg
Ratingen,51.29724,6.84929,North Rhine-Westphalia
Marl,51.65671,7.09038,North Rhine-Westphalia
Lünen,51.61634,7.52872,North Rhine-Westphalia
Hanau am Main,50.13423,8.91418,Hesse
Velbert,51.33537,7.04348,North Rhine-Westphalia
Ludwigsburg,48.89731,9.19161,Baden-Wuerttemberg
Lichterfelde,52.4333,13.30762,Berlin
Flensburg,54.78431,9.43961,Schleswig-Holstein
Wedding,52.54734,13.35594,Berlin
Cottbus,51.75769,14.32888,Brandenburg
Wilhelmshaven,53.52998,8.11253,Lower Saxony
Hellersdorf,52.53319,13.6088,Berlin
Reinickendorf,52.56395,13.33552,Berlin
Tübingen,48.52266,9.05222,Baden-Wuerttemberg
Minden,52.28953,8.91455,North Rhine-Westphalia
Villingen-Schwenningen,48.06226,8.49358,Baden-Wuerttemberg
Konstanz,47.66033,9.17582,Baden-Wuerttemberg
Worms,49.63278,8.35916,Rheinland-Pfalz
Moabit,52.52635,13.33903,Berlin
Neumünster,54.07477,9.98195,Schleswig-Holstein
Dorsten,51.66166,6.96514,North Rhine-Westphalia
Lüdenscheid,51.21977,7.6273,North Rhine-Westphalia
Marburg an der Lahn,50.80904,8.77069,Hesse
Rheinhausen,51.40055,6.71187,North Rhine-Westphalia
Castrop-Rauxel,51.55657,7.31155,North Rhine-Westphalia
Bogenhausen,48.15221,11.61585,Bavaria
Gladbeck,51.57077,6.98593,North Rhine-Westphalia
Arnsberg,51.38333,8.08333,North Rhine-Westphalia
Rheine,52.28509,7.44055,North Rhine-Westphalia
Viersen,51.25435,6.39441,North Rhine-Westphalia
Delmenhorst,53.0511,8.63091,Lower Saxony
Bayreuth,49.94782,11.57893,Bavaria
Troisdorf,50.80901,7.14968,North Rhine-Westphalia
Gießen,50.58727,8.67554,Hesse
Bocholt,51.83879,6.61531,North Rhine-Westphalia
Detmold,51.93855,8.87318,North Rhine-Westphalia
Steglitz,52.45606,13.332,Berlin
Norderstedt,53.6859,9.98041,Schleswig-Holstein
Lüneburg,53.2509,10.41409,Lower Saxony
Billstedt,53.55,10.13333,Schleswig-Holstein
Celle,52.62264,10.08047,Lower Saxony
Dinslaken,51.56227,6.7434,North Rhine-Westphalia
Bamberg,49.89873,10.90067,Bavaria
Aschaffenburg,49.97704,9.15214,Bavaria
Neubrandenburg,53.56414,13.27532,Mecklenburg-Vorpommern
Dessau,51.83864,12.24555,Saxony-Anhalt
Lippstadt,51.67369,8.34482,North Rhine-Westphalia
Köpenick,52.4455,13.57455,Berlin
Aalen,48.83777,10.0933,Baden-Wuerttemberg
Neuwied,50.4336,7.47057,Rheinland-Pfalz
Unna,51.53795,7.68969,North Rhine-Westphalia
Plauen,50.4973,12.13782,Saxony
Pankow,52.56926,13.40186,Berlin
Herten,51.59638,7.14387,North Rhine-Westphalia
Herford,52.11457,8.67343,North Rhine-Westphalia
Grevenbroich,51.09102,6.5827,North Rhine-Westphalia
Weimar,50.9803,11.32903,Thuringia
Kerpen,50.86991,6.69691,North Rhine-Westphalia
Fulda,50.55162,9.67518,Hesse
Dormagen,51.09683,6.83167,North Rhine-Westphalia
Bergheim,50.95572,6.63986,North Rhine-Westphalia
Garbsen,52.41371,9.5899,Lower Saxony
Tempelhof,52.46667,13.4,Berlin
Wesel,51.6669,6.62037,North Rhine-Westphalia
Kempten (Allgäu),47.72674,10.31389,Bavaria
Sindelfingen,48.7,9.01667,Baden-Wuerttemberg
Schwäbisch Gmünd,48.79947,9.79809,Baden-Wuerttemberg
Landshut,48.52961,12.16179,Bavaria
Rosenheim,47.85637,12.12247,Bavaria
Brandenburg an der Havel,52.41667,12.55,Brandenburg
Rüsselsheim,49.98955,8.42251,Hesse
Berlin Köpenick,52.44254,13.58228,Berlin
Offenburg,48.47377,7.94495,Baden-Wuerttemberg
Langenfeld,51.10821,6.94831,North Rhine-Westphalia
Stralsund,54.30911,13.0818,Mecklenburg-Vorpommern
Hameln,52.10397,9.35623,Lower Saxony
Friedrichshafen,47.65689,9.47554,Baden-Wuerttemberg
Göppingen,48.70354,9.65209,Baden-Wuerttemberg
Görlitz,51.15518,14.98853,Saxony
Frankfurt (Oder),52.34714,14.55062,Brandenburg
Neu-Hohenschönhausen,52.56681,13.51255,Berlin
Hattingen,51.39894,7.18557,North Rhine-Westphalia
Hilden,51.16818,6.93093,North Rhine-Westphalia
Winterhude,53.59628,10.01785,Hamburg
Stolberg,50.77368,6.22595,North Rhine-Westphalia
Sankt Augustin,50.77538,7.197,North Rhine-Westphalia
Eschweiler,50.81854,6.27184,North Rhine-Westphalia
Aplerbeck,51.48333,7.55,North Rhine-Westphalia
Baden-Baden,48.7606,8.23975,Baden-Wuerttemberg
Friedrichsfelde,52.50575,13.50812,Berlin
Ahlen,51.76338,7.8887,North Rhine-Westphalia
Bad Salzuflen,52.0862,8.74434,North Rhine-Westphalia
Euskirchen,50.66057,6.78722,North Rhine-Westphalia
Meerbusch,51.25268,6.68807,North Rhine-Westphalia
Wolfenbüttel,52.16442,10.54095,Lower Saxony
Hürth,50.87079,6.86761,North Rhine-Westphalia
Zehlendorf,52.43333,13.25,Berlin
Schweinfurt,50.04937,10.22175,Bavaria
Neustadt an der Weinstraße,49.35009,8.13886,Rheinland-Pfalz
Pulheim,50.99965,6.80632,North Rhine-Westphalia
Gummersbach,51.02608,7.56473,North Rhine-Westphalia
Wilhelmsburg,53.49973,10.01281,Hamburg
Waiblingen,48.83241,9.31641,Baden-Wuerttemberg
Nordhorn,52.43081,7.06833,Lower Saxony
Mariendorf,52.4378,13.38109,Berlin
Greifswald,54.09311,13.38786,Mecklenburg-Vorpommern
Cuxhaven,53.86828,8.69902,Lower Saxony
Wetzlar,50.56109,8.50495,Hesse
Menden,51.44337,7.77825,North Rhine-Westphalia
Bergkamen,51.61633,7.64451,North Rhine-Westphalia
Lichtenrade,52.39844,13.40637,Berlin
Bad Homburg vor der Höhe,50.22683,8.61816,Hesse
Willich,51.26371,6.54734,North Rhine-Westphalia
Emden,53.36745,7.20778,Lower Saxony
Neu-Ulm,48.39279,10.01112,Bavaria
Lingen,52.52143,7.31845,Lower Saxony
Erftstadt,50.81481,6.79387,North Rhine-Westphalia
Neubrück,51.13434,6.63857,North Rhine-Westphalia
Ibbenbüren,52.27964,7.71457,North Rhine-Westphalia
Passau,48.5665,13.43122,Bavaria
Langenhagen,52.44758,9.73741,Lower Saxony
Schwerte,51.44387,7.5675,North Rhine-Westphalia
Speyer,49.32083,8.43111,Rheinland-Pfalz
Alt-Hohenschönhausen,52.54608,13.5013,Berlin
Heidenheim an der Brenz,48.67798,10.15162,Baden-Wuerttemberg
Treptow,52.49376,13.44469,Berlin
Peine,52.31928,10.2352,Lower Saxony
Neunkirchen,49.34449,7.18045,Saarland
Bad Oeynhausen,52.20699,8.80365,North Rhine-Westphalia
Hof,50.31297,11.91261,Bavaria
Kleve,51.78826,6.13865,North Rhine-Westphalia
Ravensburg,47.78198,9.61062,Baden-Wuerttemberg
Frechen,50.91485,6.8118,North Rhine-Westphalia
Elmshorn,53.75396,9.65339,Schleswig-Holstein
Bornheim,50.76313,6.99089,North Rhine-Westphalia
Soest,51.57558,8.10619,North Rhine-Westphalia
Singen,47.75935,8.8403,Baden-Wuerttemberg
Hennef (Sieg),50.77555,7.28308,North Rhine-Westphalia
Rastatt,48.85851,8.20965,Baden-Wuerttemberg
Erkrath,51.22235,6.90831,North Rhine-Westphalia
Weißensee,52.55632,13.46649,Berlin
Lahr,48.34042,7.86886,Baden-Wuerttemberg
Stuttgart-Ost,48.78363,9.21032,Baden-Wuerttemberg
Dülmen,51.83149,7.28075,North Rhine-Westphalia
Frankenthal,49.53414,8.35357,Rheinland-Pfalz
Herzogenrath,50.86874,6.09317,North Rhine-Westphalia
Lörrach,47.61497,7.66457,Baden-Wuerttemberg
Oberursel,50.20731,8.57747,Hesse
Albstadt,48.21644,9.02596,Baden-Wuerttemberg
Gotha,50.94823,10.70193,Thuringia
Melle,52.20197,8.33826,Lower Saxony
Staaken,52.53661,13.15057,Berlin
Alsdorf,50.87673,6.16399,North Rhine-Westphalia
Böblingen,48.68212,9.01171,Baden-Wuerttemberg
Langenhorn,53.66667,10.01667,Hamburg
Gronau,52.21099,7.02238,North Rhine-Westphalia
Rheda-Wiedenbrück,51.84967,8.30017,North Rhine-Westphalia
Neustadt am Rübenberge,52.50462,9.45871,Lower Saxony
Kamen,51.59231,7.6638,North Rhine-Westphalia
Gohlis,51.36667,12.35,Saxony
Leonberg,48.8,9.01667,Baden-Wuerttemberg
Stade,53.59337,9.47629,Lower Saxony
Bünde,52.19837,8.58644,North Rhine-Westphalia
Bruchsal,49.12426,8.59804,Baden-Wuerttemberg
Meiderich,51.46667,6.76667,North Rhine-Westphalia
Wismar,53.89314,11.45286,Mecklenburg-Vorpommern
Amberg,49.44287,11.86267,Bavaria
Erkelenz,51.07947,6.31531,North Rhine-Westphalia
Homburg,49.32637,7.33867,Saarland
Straubing,48.88126,12.57385,Bavaria
Halle Neustadt,51.47924,11.91605,Saxony-Anhalt
Brühl,50.82928,6.90499,North Rhine-Westphalia
Fellbach,48.80912,9.27697,Baden-Wuerttemberg
Lehrte,52.37193,9.97919,Lower Saxony
Nordhausen,51.5018,10.7957,Thuringia
Eisenach,50.9807,10.31522,Thuringia
Hoyerswerda,51.43787,14.23549,Saxony
Freiberg,50.91089,13.33881,Saxony
Pirmasens,49.20145,7.60529,Rheinland-Pfalz
Goslar,51.90425,10.42766,Lower Saxony
Lankwitz,52.43623,13.3459,Berlin
Filderstadt,48.65698,9.22049,Baden-Wuerttemberg
Suhl,50.60911,10.69401,Thuringia
Weinheim,49.54887,8.66697,Baden-Wuerttemberg
Rodgau,50.02627,8.88588,Hesse
Bad Kreuznach,49.8414,7.86713,Rheinland-Pfalz
Monheim am Rhein,51.09162,6.89217,North Rhine-Westphalia
Gifhorn,52.47774,10.5511,Lower Saxony
Britz,52.44293,13.43388,Berlin
Rottenburg,48.47629,8.93528,Baden-Wuerttemberg
Rudow,52.42407,13.48529,Berlin
Freising,48.40351,11.74876,Bavaria
Weiden,49.67682,12.15613,Bavaria
Kaufbeuren,47.88238,10.62192,Bavaria
Nettetal,51.31667,6.28333,North Rhine-Westphalia
Kaarst,51.22929,6.61883,North Rhine-Westphalia
Wunstorf,52.42377,9.43585,Lower Saxony
Gallus,50.10038,8.6295,Hesse
Eberswalde,52.83492,13.81951,Brandenburg
Bautzen,51.18035,14.43494,Saxony
Lemgo,52.02786,8.89901,North Rhine-Westphalia
Coburg,50.25937,10.96384,Bavaria
Bietigheim-Bissingen,48.94407,9.11755,Baden-Wuerttemberg
Mülheim,50.96639,7.00384,North Rhine-Westphalia
Landau in der Pfalz,49.19844,8.11692,Rheinland-Pfalz
Heinsberg,51.06358,6.0998,North Rhine-Westphalia
Lichtenberg,52.51395,13.49975,Berlin
Westend,52.51708,13.27636,Berlin
Seevetal,53.4,9.96667,Lower Saxony
Königswinter,50.67734,7.19245,North Rhine-Westphalia
Memmingen,47.98372,10.18527,Bavaria
Völklingen,49.25162,6.85873,Saarland
Niendorf,53.61769,9.95032,Hamburg
Borken,51.84382,6.85774,North Rhine-Westphalia
Oranienburg,52.75577,13.24197,Brandenburg
Pinneberg,53.66732,9.78936,Schleswig-Holstein
Germering,48.13392,11.3765,Bavaria
Wilhelmstadt,52.52379,13.18916,Berlin
Dreieich,50.01997,8.69611,Hesse
Pirna,50.95843,13.93702,Saxony
Aurich,53.46919,7.48232,Lower Saxony
Barmbek-Nord,53.6052,10.03988,Hamburg
Nürtingen,48.62565,9.34203,Baden-Wuerttemberg
Kirchheim unter Teck,48.64683,9.45378,Baden-Wuerttemberg
Buckow,52.42162,13.43613,Berlin
Märkisches Viertel,52.59841,13.35766,Berlin
Laatzen,52.31506,9.79739,Lower Saxony
Hückelhoven,51.0555,6.22658,North Rhine-Westphalia
Dachau,48.26,11.43402,Bavaria
Halberstadt,51.89562,11.05622,Saxony-Anhalt
Schorndorf,48.80537,9.52721,Baden-Wuerttemberg
Spandau,52.5511,13.19921,Berlin
Neumarkt in der Oberpfalz,49.28028,11.46278,Bavaria
Mettmann,51.2504,6.97536,North Rhine-Westphalia
Löhne,52.18848,8.6922,North Rhine-Westphalia
Kamp-Lintfort,51.50467,6.54587,North Rhine-Westphalia
Bensheim,49.68369,8.61839,Hesse
Siegburg,50.80019,7.20769,North Rhine-Westphalia
Freital,51.00166,13.6488,Saxony
Ettlingen,48.94094,8.40763,Baden-Wuerttemberg
Biebrich,50.0415,8.24878,Hesse
Warendorf,51.95109,7.98756,North Rhine-Westphalia
Sankt Ingbert,49.27697,7.11672,Saarland
Eving,51.55177,7.48087,North Rhine-Westphalia
Falkenhagener Feld,52.55191,13.16802,Berlin
Altenburg,50.98763,12.43684,Thuringia
Schwabach,49.33047,11.02346,Bavaria
Leuben,51.01122,13.82029,Saxony
Saarlouis,49.31366,6.75154,Saarland
Maintal,50.15,8.83333,Hesse
Buxtehude,53.46716,9.68636,Lower Saxony
Ahaus,52.07936,7.01344,North Rhine-Westphalia
Mühlhausen,51.20896,10.45275,Thuringia
Hamm,53.55487,10.05742,Hamburg
Neustadt/Süd,50.92509,6.94762,North Rhine-Westphalia
Horn,53.55406,10.08989,Hamburg
Haltern am See,51.74297,7.18163,North Rhine-Westphalia
Beckum,51.75571,8.04075,North Rhine-Westphalia
Hofheim am Taunus,50.09019,8.4493,Hesse
Stendal,52.6069,11.85867,Saxony-Anhalt
Gropiusstadt,52.42686,13.46053,Berlin
Hemer,51.38707,7.77019,North Rhine-Westphalia
Falkensee,52.56014,13.0927,Brandenburg
Buchholz in der Nordheide,53.32641,9.86812,Lower Saxony
Riesa,51.30777,13.29168,Saxony
